Province_State,Admin2,Date,Value
Illinois,Will,2020-02-01,0
Illinois,Will,2020-02-02,0
Illinois,Will,2020-02-03,0
Illinois,Will,2020-02-04,0
Illinois,Will,2020-02-05,0
Illinois,Will,2020-02-06,0
Illinois,Will,2020-02-07,0
Illinois,Will,2020-02-08,0
Illinois,Will,2020-02-09,0
Illinois,Will,2020-02-10,0
Illinois,Will,2020-02-11,0
Illinois,Will,2020-02-12,0
Illinois,Will,2020-02-13,0
Illinois,Will,2020-02-14,0
Illinois,Will,2020-02-15,0
Illinois,Will,2020-02-16,0
Illinois,Will,2020-02-17,0
Illinois,Will,2020-02-18,0
Illinois,Will,2020-02-19,0
Illinois,Will,2020-02-20,0
Illinois,Will,2020-02-21,0
Illinois,Will,2020-02-22,0
Illinois,Will,2020-02-23,0
Illinois,Will,2020-02-24,0
Illinois,Will,2020-02-25,0
Illinois,Will,2020-02-26,0
Illinois,Will,2020-02-27,0
Illinois,Will,2020-02-28,0
Illinois,Will,2020-02-29,0
Illinois,Will,2020-03-01,0
Illinois,Will,2020-03-02,0
Illinois,Will,2020-03-03,0
Illinois,Will,2020-03-04,0
Illinois,Will,2020-03-05,0
Illinois,Will,2020-03-06,0
Illinois,Will,2020-03-07,0
Illinois,Will,2020-03-08,0
Illinois,Will,2020-03-09,0
Illinois,Will,2020-03-10,0
Illinois,Will,2020-03-11,0
Illinois,Will,2020-03-12,0
Illinois,Will,2020-03-13,0
Illinois,Will,2020-03-14,0
Illinois,Will,2020-03-15,0
Illinois,Will,2020-03-16,1
Illinois,Will,2020-03-17,2
Illinois,Will,2020-03-18,3
Illinois,Will,2020-03-19,9
Illinois,Will,2020-03-20,9
Illinois,Will,2020-03-21,12
Illinois,Will,2020-03-22,21
Illinois,Will,2020-03-23,24
Illinois,Will,2020-03-24,28
Illinois,Will,2020-03-25,40
Illinois,Will,2020-03-26,40
Illinois,Will,2020-03-27,104
Illinois,Will,2020-03-28,127
Illinois,Will,2020-03-29,182
Illinois,Will,2020-03-30,223
Illinois,Will,2020-03-31,228
Illinois,Will,2020-04-01,322
Illinois,Will,2020-04-02,384
Illinois,Will,2020-04-03,455
Illinois,Will,2020-04-04,582
Illinois,Will,2020-04-05,648
Illinois,Will,2020-04-06,697
Illinois,Will,2020-04-07,840
Illinois,Will,2020-04-08,914
Illinois,Will,2020-04-09,1010
Illinois,Will,2020-04-10,1077
Illinois,Will,2020-04-11,1126
Illinois,Will,2020-04-12,1228
Illinois,Will,2020-04-13,1283
Illinois,Will,2020-04-14,1350
Illinois,Will,2020-04-15,1433
Illinois,Will,2020-04-16,1494
Illinois,Will,2020-04-17,1566
Illinois,Will,2020-04-18,1603
Illinois,Will,2020-04-19,1643
Illinois,Will,2020-04-20,1692
Illinois,Will,2020-04-21,1736
Illinois,Will,2020-04-22,1820
Illinois,Will,2020-04-23,1885
Illinois,Will,2020-04-24,2009
Illinois,Will,2020-04-25,2060
Illinois,Will,2020-04-26,2126
Illinois,Will,2020-04-27,2173
Illinois,Will,2020-04-28,2254
Illinois,Will,2020-04-29,2369
Illinois,Will,2020-04-30,2492
Illinois,Will,2020-05-01,2617
Illinois,Will,2020-05-02,2796
Illinois,Will,2020-05-03,2868
Illinois,Will,2020-05-04,3066
Illinois,Will,2020-05-05,3150
Illinois,Will,2020-05-06,3332
Illinois,Will,2020-05-07,3434
Illinois,Will,2020-05-08,3561
Illinois,Will,2020-05-09,3636
Illinois,Will,2020-05-10,3684
Illinois,Will,2020-05-11,3740
Illinois,Will,2020-05-12,3896
Illinois,Will,2020-05-13,3973
Illinois,Will,2020-05-14,4090
Illinois,Will,2020-05-15,4277
Illinois,Will,2020-05-16,4312
Illinois,Will,2020-05-17,4388
Illinois,Will,2020-05-18,4455
Illinois,Will,2020-05-19,4560
Illinois,Will,2020-05-20,4694
Illinois,Will,2020-05-21,4797
Illinois,Will,2020-05-22,4929
Illinois,Will,2020-05-23,5012
Illinois,Will,2020-05-24,5117
Illinois,Will,2020-05-25,5188
Illinois,Will,2020-05-26,5238
Illinois,Will,2020-05-27,5279
Illinois,Will,2020-05-28,5356
